Piano in the Dark,DSRB,221,224,Russell-Hull-Cutler
Retrato em Branco e Preto,DSRB,225,226,Jobim-Buarque
Round Midnight,DSRB,227,228,Willimas-Monk-Hanighen
S Wonderful,DSRB,229,230,Gershwin
Samba do Aviao,DSRB,231,232,Jobim
Secret Love,DSRB,233,234,Fain-Webster
September in the Rain,DSRB,235,236,Warren-Dubin
September Song,DSRB,237,237,Weill-Anderson
Serenade In Blue,DSRB,238,239,Warren-Gordon
Shiny Stockings,DSRB,240,241,Foster-Fitzgerald
Since I Fell for You,DSRB,242,243,Johnson
Skylark,DSRB,244,245,Carmichael-Mercer
So in Love,DSRB,246,247,Porter
So Many Stars,DSRB,248,249,Mendes-Bergman
Softly as in a Morning Sunrise,DSRB,250,251,Romberg-Hammerstein
Some Other Time,DSRB,252,253,Berstein-Comden-Green
Somebody Loves Me,DSRB,254,255,Gershwin-Desylva-Macdonald
Some to Watch Over Me,DSRB,256,257,Gershwin
Sometimes I'm Happy,DSRB,258,259,Youmans-Caesar-Grey
Soon,DSRB,260,261,Gershwin
Soul Man,DSRB,262,263,Hayes-Porter
Speak Low,DSRB,264,265,Weill-Nash
Strike Up the Band,DSRB,266,267,Gershwin
Summer Knows (The),DSRB,268,269,Legrand-Bergman
Summer Night,DSRB,270,271,Warren-Dubin
Summertime,DSRB,272,273,Gershwin
Sweet Georgia Brown,DSRB,274,275,Bernie-Pinkard-Casey
Tea fo Two,DSRB,276,277,Youmans-Caesar
That Old Feeling,DSRB,278,278,Brown-Fain
That's All,DSRB,279,280,Haymes-Brandt
There is No Greater Love,DSRB,281,281,Jone-Symes
There's a Small Hotel,DSRB,282,283,Rodgers-Hart
They All Laughed,DSRB,284,285,Gershwin
They Can't Take That Away From Me,DSRB,286,287,Gershwin
This Heart of Mine,DSRB,288,289,Warren-Feed
This is Always,DSRB,290,291,Warren-Gordon
This is New,DSRB,292,293,Weil-Gershwin
Thou Swell,DSRB,294,295,Rodgers-Hart
Time For Love (A),DSRB,296,297,Mandel-Webster
Too Marvelous for Words,DSRB,298,299,Whitig-Mercer
Triste,DSRB,300,301,Jobim
Waters of March,DSRB,302,305,Jobim
Wave,DSRB,306,307,Jobim
What A Little Moonlight Can Do,DSRB,308,309,Woods
What is This Thing Called Love?,DSRB,310,311,Porter
What's Love Got To Do With It,DSRB,312,313,Britten-Lyle
What's New,DSRB,314,315,Haggart-Burke
When a Man Loves a Woman,DSRB,316,317,Lewis-Wright
When Your Lover Has Gone,DSRB,318,319,Swan
Where or When,DSRB,320,321,Rodgers-Hart
Who Cares?,DSRB,322,323,Gershwin
Without a Song,DSRB,324,325,Youmans-Rose-Eliscu
You and the Night and the Music,DSRB,326,327,Schwartz-Dietz
You Are Too Beautiful,DSRB,328,329,Rodgers-Hart
You Do Something To Me,DSRB,330,331,Porter
You Make Me Feel Brand New,DSRB,332,333,Bell-Creed
You Make Me Feel So Young,DSRB,334,335,Myron-Gordon
You Took Advantage of Me,DSRB,336,337,Rodgers-Hart
You'd Be So Nice to Come Home to,DSRB,338,339,Porter
You'll Never Know,DSRB,340,341,Warren-Gordon
You're My Everything,DSRB,342,342,Warren-Young
You're the Top,DSRB,343,344,Porter
