Song,Title,Book,Length,Offset,Start,End
I THOUGHT ABOUT YOU            ,I THOUGHT ABOUT YOU - Eb Item nrb1,The New Real Book Eb I.pdf,1,0,143,143
IF I VVERE A BELL              ,IF I VVERE A BELL - Eb Item nrb1,The New Real Book Eb I.pdf,2,0,144,145
IF YOU NEVER COME TO ME        ,IF YOU NEVER COME TO ME - Eb Item nrb1,The New Real Book Eb I.pdf,1,1,147,147
I'LL TAKE ROMANCE              ,I'LL TAKE ROMANCE - Eb Item nrb1,The New Real Book Eb I.pdf,2,0,148,149
I'M ALL SMILES                  ,I'M ALL SMILES - Eb Item nrb1,The New Real Book Eb I.pdf,2,0,150,151
IMAGINATION                    ,IMAGINATION - Eb Item nrb1,The New Real Book Eb I.pdf,1,0,152,152
IN WALKED BUD                  ,IN WALKED BUD - Eb Item nrb1,The New Real Book Eb I.pdf,1,0,153,153
THE ISLAND                     ,THE ISLAND - Eb Item nrb1,The New Real Book Eb I.pdf,2,0,154,155
IT HAPPENS EVERY DAY           ,IT HAPPENS EVERY DAY - Eb Item nrb1,The New Real Book Eb I.pdf,2,0,156,157
JERSEY BOUNCE                  ,JERSEY BOUNCE - Eb Item nrb1,The New Real Book Eb I.pdf,1,1,159,159
JOSHUA                         ,JOSHUA - Eb Item nrb1,The New Real Book Eb I.pdf,2,0,160,161
KEEP THAT SAME OLD FEELING     ,KEEP THAT SAME OLD FEELING - Eb Item nrb1,The New Real Book Eb I.pdf,2,0,162,163
KILLING ME SOFTLY WITH HIS SONG,KILLING ME SOFTLY WITH HIS SONG - Eb Item nrb1,The New Real Book Eb I.pdf,1,1,165,165
LA SAMBA                       ,LA SAMBA - Eb Item nrb1,The New Real Book Eb I.pdf,2,0,166,167
LA VIDA FELIZ                  ,LA VIDA FELIZ - Eb Item nrb1,The New Real Book Eb I.pdf,2,0,168,169
LADY BIRD                      ,LADY BIRD - Eb Item nrb1,The New Real Book Eb I.pdf,2,0,170,171
LAST FIRST                     ,LAST FIRST - Eb Item nrb1,The New Real Book Eb I.pdf,2,0,172,173
LAST TRAIN FROM OVERBROOK      ,LAST TRAIN FROM OVERBROOK - Eb Item nrb1,The New Real Book Eb I.pdf,1,0,174,174
LAURIE                         ,LAURIE - Eb Item nrb1,The New Real Book Eb I.pdf,1,0,175,175
LET ME BE THE ONE              ,LET ME BE THE ONE - Eb Item nrb1,The New Real Book Eb I.pdf,2,0,176,177
LETS GO DANCIN'                ,LETS GO DANCIN' - Eb Item nrb1,The New Real Book Eb I.pdf,1,0,178,178
LIKE SOMEONE IN LOVE           ,LIKE SOMEONE IN LOVE - Eb Item nrb1,The New Real Book Eb I.pdf,1,0,179,179
LINE FOR LYONS                 ,LINE FOR LYONS - Eb Item nrb1,The New Real Book Eb I.pdf,1,0,180,180
LITTLE SUNFLOWER               ,LITTLE SUNFLOWER - Eb Item nrb1,The New Real Book Eb I.pdf,1,0,181,181
A LITTLE TEAR                  ,A LITTLE TEAR - Eb Item nrb1,The New Real Book Eb I.pdf,1,1,183,183
LITTLE WALTZ                   ,LITTLE WALTZ - Eb Item nrb1,The New Real Book Eb I.pdf,1,0,184,184
LOVE CAME ON STEALTHY FINGERS  ,LOVE CAME ON STEALTHY FINGERS - Eb Item nrb1,The New Real Book Eb I.pdf,1,0,185,185
LOVE DANCE                     ,LOVE DANCE - Eb Item nrb1,The New Real Book Eb I.pdf,2,0,186,187
LUSH LIFE                      ,LUSH LIFE - Eb Item nrb1,The New Real Book Eb I.pdf,2,0,188,189
MADAGASCAR                     ,MADAGASCAR - Eb Item nrb1,The New Real Book Eb I.pdf,1,0,190,190
MAKE ME A MEMORY (Sad Samba)   ,MAKE ME A MEMORY (Sad Samba) - Eb Item nrb1,The New Real Book Eb I.pdf,1,0,191,191
MATINEE IDOL                   ,MATINEE IDOL - Eb Item nrb1,The New Real Book Eb I.pdf,1,0,192,192
MERCY  MERCY  MERCY            ,MERCY MERCY MERCY - Eb Item nrb1,The New Real Book Eb I.pdf,1,0,193,193
THE MIDNIGHT SUN               ,THE MIDNIGHT SUN - Eb Item nrb1,The New Real Book Eb I.pdf,1,0,194,194
THE MIDNIGHT SUN WILL NEVER SET,THE MIDNIGHT SUN WILL NEVER SET - Eb Item nrb1,The New Real Book Eb I.pdf,1,0,195,195
MODADJI                        ,MODADJI - Eb Item nrb1,The New Real Book Eb I.pdf,2,0,196,197
MONKEY'S UNCLE                 ,MONKEY'S UNCLE - Eb Item nrb1,The New Real Book Eb I.pdf,-1,0,198,196
MONK'S MOOD                      ,MONK'S MOOD - Eb Item nrb1,The New Real Book Eb I.pdf,3,0,197,199
MOONLIGHT IN VERMONT             ,MOONLIGHT IN VERMONT - Eb Item nrb1,The New Real Book Eb I.pdf,1,1,201,201
MORNN'                           ,MORNN' - Eb Item nrb1,The New Real Book Eb I.pdf,2,0,202,203
MORNING DANCE                    ,MORNING DANCE - Eb Item nrb1,The New Real Book Eb I.pdf,2,0,204,205
MR. CLEAN                        ,MR. CLEAN - Eb Item nrb1,The New Real Book Eb I.pdf,1,1,207,207
MR. GONE                         ,MR. GONE - Eb Item nrb1,The New Real Book Eb I.pdf,2,0,208,209
MY ATTORNEY BERNIE               ,MY ATTORNEY BERNIE - Eb Item nrb1,The New Real Book Eb I.pdf,2,0,210,211
MY SHINING HOUR                  ,MY SHINING HOUR - Eb Item nrb1,The New Real Book Eb I.pdf,1,0,212,212
NATURE BOY                       ,NATURE BOY - Eb Item nrb1,The New Real Book Eb I.pdf,1,0,213,213
NEFERTITI                      ,NEFERTITI - Eb Item nrb1,The New Real Book Eb I.pdf,1,1,215,215
NEVER GIVIN' UP                    ,NEVER GIVIN' UP - Eb Item nrb1,The New Real Book Eb I.pdf,3,0,216,218
NEVER MAKE YOUR MOVE TOO SOON    ,NEVER MAKE YOUR MOVE TOO SOON - Eb Item nrb1,The New Real Book Eb I.pdf,1,0,219,219
NIGERIAN MARKETPLACE             ,NIGERIAN MARKETPLACE - Eb Item nrb1,The New Real Book Eb I.pdf,1,0,220,220
NIGHTLAKE                        ,NIGHTLAKE - Eb Item nrb1,The New Real Book Eb I.pdf,1,0,221,221
NO ME ESQUECA                    ,NO ME ESQUECA - Eb Item nrb1,The New Real Book Eb I.pdf,2,0,222,223
NOT ETHIOPIA                     ,NOT ETHIOPIA - Eb Item nrb1,The New Real Book Eb I.pdf,2,0,224,225
NOTHING PERSONAL                 ,NOTHING PERSONAL - Eb Item nrb1,The New Real Book Eb I.pdf,1,0,226,226
OFF MINOR                        ,OFF MINOR - Eb Item nrb1,The New Real Book Eb I.pdf,1,0,227,227
OLEO                             ,OLEO - Eb Item nrb1,The New Real Book Eb I.pdf,1,0,228,228
ONCE I LOVED                     ,ONCE I LOVED - Eb Item nrb1,The New Real Book Eb I.pdf,1,0,229,229
ONE FAMILY                       ,ONE FAMILY - Eb Item nrb1,The New Real Book Eb I.pdf,2,0,230,231
ONE FOR MY BABY (And One More For,ONE FOR MY BABY (And One More For - Eb Item nrb1,The New Real Book Eb I.pdf,2,0,232,233
OUT OF THIS WORLD                ,OUT OF THIS WORLD - Eb Item nrb1,The New Real Book Eb I.pdf,2,0,234,235
O.Z                              ,O.Z - Eb Item nrb1,The New Real Book Eb I.pdf,2,0,236,237
PAPA LIPS                        ,PAPA LIPS - Eb Item nrb1,The New Real Book Eb I.pdf,2,0,238,239
PARTIDO ALTO                     ,PARTIDO ALTO - Eb Item nrb1,The New Real Book Eb I.pdf,2,0,240,241
PENT UP HOUSE                    ,PENT UP HOUSE - Eb Item nrb1,The New Real Book Eb I.pdf,1,1,243,243
PLAZA REAL                       ,PLAZA REAL - Eb Item nrb1,The New Real Book Eb I.pdf,2,0,244,245
POLKADOTS AND MOONBEAMS          ,POLKADOTS AND MOONBEAMS - Eb Item nrb1,The New Real Book Eb I.pdf,2,0,246,247
PORTRAIT OF TRACY                ,PORTRAIT OF TRACY - Eb Item nrb1,The New Real Book Eb I.pdf,1,1,249,249
PROMENADE                        ,PROMENADE - Eb Item nrb1,The New Real Book Eb I.pdf,2,0,250,251
PUT IT WHERE YOU WANT IT         ,PUT IT WHERE YOU WANT IT - Eb Item nrb1,The New Real Book Eb I.pdf,1,0,252,252
P.Y.T. (Pretty Young Thing)      ,P.Y.T. (Pretty Young Thing) - Eb Item nrb1,The New Real Book Eb I.pdf,1,0,253,253
QUINTESSENCE                     ,QUINTESSENCE - Eb Item nrb1,The New Real Book Eb I.pdf,1,1,255,255
RAPTURE                          ,RAPTURE - Eb Item nrb1,The New Real Book Eb I.pdf,1,0,256,256
RE: PERSON I KNEW                ,RE: PERSON I KNEW - Eb Item nrb1,The New Real Book Eb I.pdf,1,0,257,257
REINCARNATION OF A LOVEBIRD      ,REINCARNATION OF A LOVEBIRD - Eb Item nrb1,The New Real Book Eb I.pdf,2,0,258,259
REMEMBER ROCKEFELLER AT ATTICA   ,REMEMBER ROCKEFELLER AT ATTICA - Eb Item nrb1,The New Real Book Eb I.pdf,1,1,261,261
RIO                              ,RIO - Eb Item nrb1,The New Real Book Eb I.pdf,2,0,262,263
RIVER PEOPLE                     ,RIVER PEOPLE - Eb Item nrb1,The New Real Book Eb I.pdf,1,0,264,264
ROBBINS NEST                     ,ROBBINS NEST - Eb Item nrb1,The New Real Book Eb I.pdf,1,0,265,265
RUBY MY DEAR                    ,RUBY MY DEAR - Eb Item nrb1,The New Real Book Eb I.pdf,1,1,267,267
RUSH HOUR                        ,RUSH HOUR - Eb Item nrb1,The New Real Book Eb I.pdf,1,0,268,268
SAFARI                           ,SAFARI - Eb Item nrb1,The New Real Book Eb I.pdf,3,0,269,271
SANDU                            ,SANDU - Eb Item nrb1,The New Real Book Eb I.pdf,1,0,272,272
SATIN DOLL                       ,SATIN DOLL - Eb Item nrb1,The New Real Book Eb I.pdf,1,0,273,273
SAVE YOUR LOVE FOR ME            ,SAVE YOUR LOVE FOR ME - Eb Item nrb1,The New Real Book Eb I.pdf,2,0,274,275
SEARCH FOR PEACE                 ,SEARCH FOR PEACE - Eb Item nrb1,The New Real Book Eb I.pdf,1,1,277,277
SELF PORTRAIT IN THREE COLORS    ,SELF PORTRAIT IN THREE COLORS - Eb Item nrb1,The New Real Book Eb I.pdf,2,0,278,279
SHAKER SONG                      ,SHAKER SONG - Eb Item nrb1,The New Real Book Eb I.pdf,2,0,280,281
SHAW 'NUFF                       ,SHAW 'NUFF - Eb Item nrb1,The New Real Book Eb I.pdf,2,0,282,283
SIMPLE SAMBA                     ,SIMPLE SAMBA - Eb Item nrb1,The New Real Book Eb I.pdf,2,0,284,285
SKYLARK                          ,SKYLARK - Eb Item nrb1,The New Real Book Eb I.pdf,1,0,286,286
A SLEEPIN' BEE                   ,A SLEEPIN' BEE - Eb Item nrb1,The New Real Book Eb I.pdf,1,0,287,287
SMALL DAY TOMORROW               ,SMALL DAY TOMORROW - Eb Item nrb1,The New Real Book Eb I.pdf,2,0,288,289
SOLAR                            ,SOLAR - Eb Item nrb1,The New Real Book Eb I.pdf,1,0,290,290
SOMEDAY MY PRINCE WILL COME      ,SOMEDAY MY PRINCE WILL COME - Eb Item nrb1,The New Real Book Eb I.pdf,1,0,291,291
SONG FOR LORRAINE                ,SONG FOR LORRAINE - Eb Item nrb1,The New Real Book Eb I.pdf,1,1,293,293
SONJA'S SANF'ONA                 ,SONJA'S SANF'ONA - Eb Item nrb1,The New Real Book Eb I.pdf,2,0,294,295
