Title,File,Start Page,End Page,Key,Composer,
Chelsea Bridge,HalLeonardRealBook-Bb-v1.pdf,76,76,Bb,Billy Strayhorn,Chelsea Bridge (Bb)
Cherokee,HalLeonardRealBook-Bb-v1.pdf,77,77,Bb,Ray Noble,Cherokee (Bb)
Cherry Pink And Apple Blossom White,HalLeonardRealBook-Bb-v1.pdf,78,78,Bb,Lou I Guyu/Lacome Larne/Mack David,Cherry Pink And Apple Blossom White (Bb)
Child Is Born,HalLeonardRealBook-Bb-v1.pdf,79,79,Bb,Thad Jones,Child Is Born (Bb)
Chippie,HalLeonardRealBook-Bb-v1.pdf,80,80,Bb,Ornette Coleman,Chippie (Bb)
Chitlens Con Carne,HalLeonardRealBook-Bb-v1.pdf,81,81,Bb,Kenny Burrell,Chitlens Con Carne (Bb)
Come Sunday,HalLeonardRealBook-Bb-v1.pdf,82,82,Bb,Duke Ellington,Come Sunday (Bb)
Como En Vietnam,HalLeonardRealBook-Bb-v1.pdf,83,83,Bb,Steve Swallow,Como En Vietnam (Bb)
Con Alma,HalLeonardRealBook-Bb-v1.pdf,84,85,Bb,Dizzy Gillespie,Con Alma (Bb)
Conception,HalLeonardRealBook-Bb-v1.pdf,86,86,Bb,George Shearing,Conception (Bb)
Confirmation,HalLeonardRealBook-Bb-v1.pdf,87,87,Bb,Charlie Parker,Confirmation (Bb)
Contemplation,HalLeonardRealBook-Bb-v1.pdf,88,88,Bb,McCoy Tyner,Contemplation (Bb)
Coral,HalLeonardRealBook-Bb-v1.pdf,89,89,Bb,Keith Jarrett,Coral (Bb)
Cottontail,HalLeonardRealBook-Bb-v1.pdf,90,90,Bb,Duke Ellington,Cottontail (Bb)
Could It Be You,HalLeonardRealBook-Bb-v1.pdf,91,91,Bb,Cole Porter,Could It Be You (Bb)
Countdown,HalLeonardRealBook-Bb-v1.pdf,92,92,Bb,John Coltrane,Countdown (Bb)
Crescent,HalLeonardRealBook-Bb-v1.pdf,93,93,Bb,John Coltrane,Crescent (Bb)
Crystal Silence,HalLeonardRealBook-Bb-v1.pdf,94,94,Bb,Chick Corea,Crystal Silence (Bb)
D Natural Blues,HalLeonardRealBook-Bb-v1.pdf,95,95,Bb,Wes Montgomery,D Natural Blues (Bb)
Daahoud,HalLeonardRealBook-Bb-v1.pdf,96,97,Bb,Clifford Brown,Daahoud (Bb)
Dancing On The Ceiling,HalLeonardRealBook-Bb-v1.pdf,98,98,Bb,Richard Rodgers/Lorenz Hart,Dancing On The Ceiling (Bb)
Darn That Dream,HalLeonardRealBook-Bb-v1.pdf,99,99,Bb,Jimmy Van Heusen/Eddie De Lange,Darn That Dream (Bb)
Day Waves,HalLeonardRealBook-Bb-v1.pdf,100,100,Bb,Chick Corea/Neville Potter,Day Waves (Bb)
Days And Nights Waiting,HalLeonardRealBook-Bb-v1.pdf,101,101,Bb,Keith Jarrett,Days And Nights Waiting (Bb)
Dear Old Stockholm,HalLeonardRealBook-Bb-v1.pdf,102,102,Bb,Yarmeland,Dear Old Stockholm (Bb)
Dearly Beloved,HalLeonardRealBook-Bb-v1.pdf,103,103,Bb,Jerome Kern/Johnny Mercer,Dearly Beloved (Bb)
Dedicated To You,HalLeonardRealBook-Bb-v1.pdf,104,104,Bb,Sammy Cahn/Saul Chaplin/Hy Zaret,Dedicated To You (Bb)
Detour Ahead,HalLeonardRealBook-Bb-v1.pdf,105,105,Bb,Herb Ellis/John Fried/Lou Carter,Detour Ahead (Bb)
Deluge,HalLeonardRealBook-Bb-v1.pdf,106,107,Bb,Wayne Shorter,Deluge (Bb)
Desafinado,HalLeonardRealBook-Bb-v1.pdf,108,109,Bb,Antonio Carlos Jobim/Newton Mendonca,Desafinado (Bb)
Desert Air,HalLeonardRealBook-Bb-v1.pdf,110,111,Bb,Chick Corea,Desert Air (Bb)
Dexterity,HalLeonardRealBook-Bb-v1.pdf,112,112,Bb,Charlie Parker,Dexterity (Bb)
Dizzy Atmosphere,HalLeonardRealBook-Bb-v1.pdf,113,113,Bb,Dizzy Gillespie,Dizzy Atmosphere (Bb)
Django,HalLeonardRealBook-Bb-v1.pdf,114,115,Bb,John Lewis,Django (Bb)
Doin' The Pig,HalLeonardRealBook-Bb-v1.pdf,116,117,Bb,Steve Swallow,Doin' The Pig (Bb)
Delores,HalLeonardRealBook-Bb-v1.pdf,118,118,Bb,Wayne Shorter,Delores (Bb)
Dolphin Dance,HalLeonardRealBook-Bb-v1.pdf,119,119,Bb,Herbie Hancock,Dolphin Dance (Bb)
Domino Biscuit,HalLeonardRealBook-Bb-v1.pdf,120,120,Bb,Steve Swallow,Domino Biscuit (Bb)
Don't Blame Me,HalLeonardRealBook-Bb-v1.pdf,121,121,Bb,Jimmy McHugh/Dorothy Fields,Don't Blame Me (Bb)
Don't Get Around Much Anymore,HalLeonardRealBook-Bb-v1.pdf,122,122,Bb,Duke Ellington/Bob Russet,Don't Get Around Much Anymore (Bb)
Donna Lee,HalLeonardRealBook-Bb-v1.pdf,123,123,Bb,Charlie Parker,Donna Lee (Bb)
Dream A Little Dream Of Me,HalLeonardRealBook-Bb-v1.pdf,124,124,Bb,Wilbur Schloandt/Fabian Andreee/Gus Kahn,Dream A Little Dream Of Me (Bb)
Dreamsville,HalLeonardRealBook-Bb-v1.pdf,125,125,Bb,Henry Mancini/Jay Livingston/Ray Evans,Dreamsville (Bb)
Easter Parade,HalLeonardRealBook-Bb-v1.pdf,126,126,Bb,Irving Berlin,Easter Parade (Bb)
Easy Living,HalLeonardRealBook-Bb-v1.pdf,127,127,Bb,Leo Robin/Ralph Ranger,Easy Living (Bb)
Easy To Love,HalLeonardRealBook-Bb-v1.pdf,128,128,Bb,Cole Porter,Easy To Love (Bb)
Ecclusiastics,HalLeonardRealBook-Bb-v1.pdf,129,129,Bb,Charles Mingus,Ecclusiastics (Bb)
Eighty One,HalLeonardRealBook-Bb-v1.pdf,130,130,Bb,Miles Davis/Ronald Carter,Eighty One (Bb)
El Gaucho,HalLeonardRealBook-Bb-v1.pdf,131,131,Bb,Wayne Shorter,El Gaucho (Bb)
Epistrophy,HalLeonardRealBook-Bb-v1.pdf,132,132,Bb,Thelonious Monk/Kenny Clarke,Epistrophy (Bb)
Equinox,HalLeonardRealBook-Bb-v1.pdf,133,133,Bb,John Coltrane,Equinox (Bb)
Equipoise,HalLeonardRealBook-Bb-v1.pdf,134,134,Bb,Stanley Cowell,Equipoise (Bb)
E.S.P.,HalLeonardRealBook-Bb-v1.pdf,135,135,Bb,Wayne Shorter,E.S.P. (Bb)
Fall,HalLeonardRealBook-Bb-v1.pdf,136,136,Bb,Wayne Shorter,Fall (Bb)
Falling Grace,HalLeonardRealBook-Bb-v1.pdf,137,137,Bb,Steve Swallow,Falling Grace (Bb)
Falling In Love With Love,HalLeonardRealBook-Bb-v1.pdf,138,138,Bb,Richard Rodgers/Lorenz Hart,Falling In Love With Love (Bb)
Fee-Fi-Fo-Fum,HalLeonardRealBook-Bb-v1.pdf,139,139,Bb,Wayne Shorter,Fee-Fi-Fo-Fum (Bb)
Fine Romance,HalLeonardRealBook-Bb-v1.pdf,140,140,Bb,Jerome Kern/Dorothy Fields,Fine Romance (Bb)
500 Miles High,HalLeonardRealBook-Bb-v1.pdf,141,140,Bb,Chick Corea/Neville Potter,500 Miles High (Bb)
Five Hundred Miles High,HalLeonardRealBook-Bb-v1.pdf,141,141,Bb,Chick Corea/Neville Potter,Five Hundred Miles High (Bb)
502 Blues,HalLeonardRealBook-Bb-v1.pdf,142,142,Bb,James Rowles,502 Blues (Bb)
Follow Your Heart,HalLeonardRealBook-Bb-v1.pdf,143,143,Bb,John McLaughlin,Follow Your Heart (Bb)
Footprints,HalLeonardRealBook-Bb-v1.pdf,144,144,Bb,Wayne Shorter,Footprints (Bb)
For All We Know,HalLeonardRealBook-Bb-v1.pdf,145,145,Bb,J. Fred Coots,For All We Know (Bb)
For Heavens Sake,HalLeonardRealBook-Bb-v1.pdf,146,146,Bb,Don Meyer/Elise Bretton/Sherman Edwards,For Heavens Sake (Bb)
For Sentimental Reasons,HalLeonardRealBook-Bb-v1.pdf,147,147,Bb,William Best/Deek Watson,For Sentimental Reasons (Bb)
Forest Flower,HalLeonardRealBook-Bb-v1.pdf,148,148,Bb,Charles Lloyd,Forest Flower (Bb)
Four,HalLeonardRealBook-Bb-v1.pdf,149,149,Bb,Miles Davis,Four (Bb)
Four On Six,HalLeonardRealBook-Bb-v1.pdf,150,150,Bb,Wes Montgomery,Four On Six (Bb)
Freddie The Freeloader,HalLeonardRealBook-Bb-v1.pdf,151,151,Bb,Miles Davis,Freddie The Freeloader (Bb)
Freedom Jazz Dance,HalLeonardRealBook-Bb-v1.pdf,152,152,Bb,Eddie Harris,Freedom Jazz Dance (Bb)
Gee Baby Ain't I Good To You,HalLeonardRealBook-Bb-v1.pdf,153,153,Bb,Don Redman/Andy Razaf,Gee Baby Ain't I Good To You (Bb)
Full House,HalLeonardRealBook-Bb-v1.pdf,154,155,Bb,Wes Montgomery,Full House (Bb)
Gemini,HalLeonardRealBook-Bb-v1.pdf,156,156,Bb,Jimmy Heath,Gemini (Bb)
Giant Steps,HalLeonardRealBook-Bb-v1.pdf,157,157,Bb,John Coltrane,Giant Steps (Bb)
Girl From Ipanema,HalLeonardRealBook-Bb-v1.pdf,158,158,Bb,Antonio Carlos Jobim/Norman Gimbel/Vinicius De Moraes,Girl From Ipanema (Bb)
Gloria's Step,HalLeonardRealBook-Bb-v1.pdf,159,159,Bb,Scott LeFaro,Gloria's Step (Bb)
God Bless The Child,HalLeonardRealBook-Bb-v1.pdf,160,160,Bb,Arthur Herzog Jr./Billy Holiday,God Bless The Child (Bb)
Golden Lady,HalLeonardRealBook-Bb-v1.pdf,161,161,Bb,Stevie Wonder,Golden Lady (Bb)
Good Evening Mr. And Mrs.America,HalLeonardRealBook-Bb-v1.pdf,162,163,Bb,John Guerin,Good Evening Mr. And Mrs.America (Bb)
Grand Central,HalLeonardRealBook-Bb-v1.pdf,164,164,Bb,John Coltrane,Grand Central (Bb)
Green Mountains,HalLeonardRealBook-Bb-v1.pdf,165,165,Bb,Steve Swallow,Green Mountains (Bb)
Groovin' High,HalLeonardRealBook-Bb-v1.pdf,166,166,Bb,Dizzy Gillespie,Groovin' High (Bb)
Grow Your Own,HalLeonardRealBook-Bb-v1.pdf,167,167,Bb,Keith Jarrett,Grow Your Own (Bb)
Guilty,HalLeonardRealBook-Bb-v1.pdf,168,168,Bb,Gus Kahn/Richard Whiting/Harry Akst,Guilty (Bb)
