Song,Title,Book,Length,Offset,Start,End
THE MIDNIGHT SUN               ,THE MIDNIGHT SUN - C Item nrb1,The New Real Book C.pdf,1,0,220,220
THE MIDNIGHT SUN WILL NEVER SET,THE MIDNIGHT SUN WILL NEVER SET - C Item nrb1,The New Real Book C.pdf,1,0,221,221
MODADJI                        ,MODADJI - C Item nrb1,The New Real Book C.pdf,2,0,222,223
MONK’S MOOD                ,MONK’S MOOD - C Item nrb1,The New Real Book C.pdf,1,1,225,225
MONKEY'S UNCLE                 ,MONKEY'S UNCLE - C Item nrb1,The New Real Book C.pdf,5,0,226,230
MOONLIGHT IN VERMONT             ,MOONLIGHT IN VERMONT - C Item nrb1,The New Real Book C.pdf,1,0,231,231
MORNN'                           ,MORNN' - C Item nrb1,The New Real Book C.pdf,2,0,232,233
MORNING DANCE                    ,MORNING DANCE - C Item nrb1,The New Real Book C.pdf,2,0,234,235
MR. CLEAN                        ,MR. CLEAN - C Item nrb1,The New Real Book C.pdf,2,0,236,237
MR. GONE                         ,MR. GONE - C Item nrb1,The New Real Book C.pdf,2,0,238,239
MY ATTORNEY BERNIE               ,MY ATTORNEY BERNIE - C Item nrb1,The New Real Book C.pdf,2,0,240,241
MY ROMANCE,MY ROMANCE - C Item nrb1,The New Real Book C.pdf,1,0,242,242
MY SHINING HOUR                  ,MY SHINING HOUR - C Item nrb1,The New Real Book C.pdf,1,0,243,243
NATURE BOY                       ,NATURE BOY - C Item nrb1,The New Real Book C.pdf,1,0,244,244
NEFERTITI                      ,NEFERTITI - C Item nrb1,The New Real Book C.pdf,1,0,245,245
NEVER GIVIN' UP                    ,NEVER GIVIN' UP - C Item nrb1,The New Real Book C.pdf,3,0,246,248
NEVER MAKE YOUR MOVE TOO SOON    ,NEVER MAKE YOUR MOVE TOO SOON - C Item nrb1,The New Real Book C.pdf,2,1,250,251
NIGERIAN MARKETPLACE             ,NIGERIAN MARKETPLACE - C Item nrb1,The New Real Book C.pdf,1,0,252,252
NIGHTLAKE                        ,NIGHTLAKE - C Item nrb1,The New Real Book C.pdf,1,0,253,253
NO ME ESQUECA                    ,NO ME ESQUECA - C Item nrb1,The New Real Book C.pdf,2,0,254,255
NOT ETHIOPIA                     ,NOT ETHIOPIA - C Item nrb1,The New Real Book C.pdf,2,0,256,257
NOTHING PERSONAL                 ,NOTHING PERSONAL - C Item nrb1,The New Real Book C.pdf,2,0,258,259
OFF MINOR                        ,OFF MINOR - C Item nrb1,The New Real Book C.pdf,2,0,260,261
OLEO                             ,OLEO - C Item nrb1,The New Real Book C.pdf,1,0,262,262
ONCE I LOVED                     ,ONCE I LOVED - C Item nrb1,The New Real Book C.pdf,1,0,263,263
ONE FAMILY                       ,ONE FAMILY - C Item nrb1,The New Real Book C.pdf,2,0,264,265
ONE FOR MY BABY (And One More For,ONE FOR MY BABY (And One More For - C Item nrb1,The New Real Book C.pdf,2,0,266,267
OUT OF THIS WORLD                ,OUT OF THIS WORLD - C Item nrb1,The New Real Book C.pdf,2,0,268,269
O.Z                              ,O.Z - C Item nrb1,The New Real Book C.pdf,2,0,270,271
PAPA LIPS                        ,PAPA LIPS - C Item nrb1,The New Real Book C.pdf,2,0,272,273
PARTIDO ALTO                     ,PARTIDO ALTO - C Item nrb1,The New Real Book C.pdf,4,0,274,277
PENT UP HOUSE                    ,PENT UP HOUSE - C Item nrb1,The New Real Book C.pdf,2,0,278,279
PLAZA REAL                       ,PLAZA REAL - C Item nrb1,The New Real Book C.pdf,6,0,280,285
